City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Meadow Lake,75,CA,1578188051,79,54.13,-108.44,23,10.29
Lucero,58,PH,1578188051,89,11.45,122.46,77.29,14.18
Kinkala,40,CG,1578188052,94,-4.35,14.75,77,2.24
Lisieux,90,FR,1578188052,100,49.15,0.23,44.6,5.82
West Bay,90,CA,1578188052,87,49.34,-123.21,44.01,12.75
Kichera,100,RU,1578188052,95,55.93,110.1,13.42,1.48
Kortkeros,75,RU,1578188053,95,61.81,51.56,32,4.47
Nevesinje,75,BA,1578188053,52,43.26,18.11,46.4,3.36
Marsh Harbour,29,BS,1578188053,84,26.54,-77.06,76.95,19.35
Toktogul,100,KG,1578188054,59,41.87,72.95,8.76,3.2
Soure,0,PT,1578188054,93,40.06,-8.63,46,2.24
Hambantota,5,LK,1578188054,100,6.12,81.12,75.2,5.82
Tateyama,75,JP,1578188054,95,36.66,137.31,42.01,4.7
Sao Jose da Coroa Grande,100,BR,1578188054,78,-8.9,-35.15,79.77,13.76
Mayumba,98,GA,1578188055,84,-3.44,10.65,80.15,6.73
Juneau,75,US,1578188055,79,58.3,-134.42,28.99,4.7
Mau,0,IN,1578188055,73,25.94,83.57,58.41,6.13
Atar,4,MR,1578188055,24,20.52,-13.05,53.33,10.54
Saint-Augustin,90,CA,1578188055,92,45.63,-73.98,30.2,2.24
Lake City,1,US,1578188056,29,38.03,-107.32,37.4,3.36
Chernyshevskiy,100,RU,1578188056,97,63.01,112.47,-7.37,4
Hella,57,BF,1578188056,19,10.47,-3.27,61.86,6.26
Saint-Francois,90,FR,1578188056,92,46.42,3.91,39,2.51
Caluquembe,100,AO,1578188057,94,-13.78,14.68,59.05,2.33
Severo-Yeniseyskiy,100,RU,1578188057,89,60.37,93.04,10.29,12.08
Calderitas,75,MX,1578188057,69,18.55,-88.26,77,9.17
Osorno,0,CL,1578187960,84,-40.57,-73.14,46.94,4.43
Gat,3,SN,1578188058,18,14.69,-16.54,71.6,13.87
Camacha,40,PT,1578188058,77,33.08,-16.33,62.6,6.93
Grindavik,75,IS,1578188058,86,63.84,-22.43,39.2,26.4
Pangnirtung,5,CA,1578188058,47,66.15,-65.72,-9.4,17.22
Nemuro,40,JP,1578188058,49,43.32,145.57,26.6,11.41
Hastinapur,0,IN,1578188059,62,29.15,77.99,52.03,6.35
Koutiala,100,ML,1578188059,18,12.39,-5.46,58.26,7.76
San Javier,26,BR,1578188059,78,-27.87,-55.13,75,1.01
Teahupoo,40,PF,1578188059,70,-17.83,-149.27,86,6.93
Zorritos,75,PE,1578188060,31,-3.68,-80.68,89.6,6.93
Port Hardy,90,CA,1578188060,93,50.7,-127.42,39.2,5.82
Cuiluan,97,CN,1578188060,89,47.72,128.65,4.95,5.5
Selfoss,90,IS,1578188060,80,63.94,-21,39.2,21.92
Ossora,100,RU,1578188061,95,59.24,163.07,15.17,5.93
Raisinghnagar,21,IN,1578188061,50,29.54,73.45,54.39,8.48
Goure,0,NE,1578188061,30,13.98,10.27,60.01,10
La Ronge,90,CA,1578188061,92,55.1,-105.3,15.8,4.7
Marathon,100,CA,1578188062,81,48.72,-86.38,20.82,11.9
Alice Springs,82,AU,1578188062,64,-23.7,133.88,73.4,11.41
Paso de los Toros,0,UY,1578188062,75,-32.81,-56.52,66.52,8.93
Muisne,83,EC,1578188062,87,0.61,-80.02,75.18,5.41
Kruisfontein,55,ZA,1578188062,92,-34,24.73,65.7,20.65
Pundaguitan,0,PH,1578188063,75,6.37,126.17,79.7,7.34
Puerto Baquerizo Moreno,40,EC,1578188063,83,-0.9,-89.6,77,13.87
Bubaque,0,GW,1578188063,59,11.28,-15.83,77.85,4.99
Dunedin,79,NZ,1578187945,64,-45.87,170.5,61,24
Matagami,0,NG,1578188064,31,9.67,8.4,62.55,6.69
Omboue,91,GA,1578188064,94,-1.57,9.26,74.62,1.59
Adrar,0,DZ,1578188064,41,27.87,-0.29,41,9.17
Muscle Shoals,1,US,1578188064,74,34.75,-87.67,39.99,8.05
Kokopo,100,PG,1578188064,72,-4.34,152.27,83.97,4.79
Fiche,38,ET,1578188065,67,9.77,38.74,58.51,2.17
Vao,90,EE,1578188065,70,59.1,26.19,29.26,11.99
Wanaka,20,NZ,1578188065,69,-44.7,169.14,49.55,11.56
Bintulu,75,MY,1578188065,88,3.17,113.03,80.6,4.7
Quelimane,16,MZ,1578188066,89,-17.88,36.89,77.79,4.72
Rawson,0,AR,1578188066,75,-43.3,-65.11,59.94,20.27
Torbay,75,CA,1578188066,86,47.66,-52.73,32,13.87
Drumheller,100,CA,1578188066,38,51.47,-112.7,33.01,7.05
Bridlington,35,GB,1578188066,87,54.08,-0.19,46.4,10.29
Beausejour,75,CA,1578188067,79,50.06,-96.51,25,18.34
Leningradskiy,0,RU,1578188067,59,69.38,178.42,-10.46,2.26
Lahaina,75,US,1578188067,83,20.87,-156.68,75.2,14.99
Santa Rosalia,40,IT,1578188067,76,38.07,13.27,57.99,10.29
Viedma,1,AR,1578187797,74,-40.81,-62.99,59.52,12.57
Nome,1,US,1578188068,71,30.04,-94.42,57.99,2.84
Pilar,0,AR,1578188068,57,-34.46,-58.91,78.01,6.93
Kijang,0,KR,1578188068,55,35.24,129.21,37.4,5.82
Keetmanshoop,55,NA,1578188068,33,-26.57,18.15,71.6,16.11
Chanika,100,MW,1578188069,92,-12.93,34.19,66.94,4.12
Chumikan,98,RU,1578188069,76,54.72,135.31,-0.72,6.71
Tabou,0,CI,1578188069,72,4.42,-7.36,69.24,3.33
Umm Lajj,0,SA,1578188069,59,25.02,37.27,53.01,9.4
Suicheng,100,CN,1578188070,89,33.9,117.93,41.29,13.87
Anadyr,0,RU,1578188071,73,64.73,177.51,-31,15.66
Puerto Carreno,0,CO,1578188071,69,6.19,-67.49,82.4,5.82
Salinopolis,100,BR,1578188071,78,-0.61,-47.36,80.67,10.87
Pervoye Maya,29,KG,1578188071,47,40.63,73.68,8.46,8.72
Chivay,100,PE,1578188071,80,-15.64,-71.6,40.5,7.9
Dingle,45,PH,1578188072,82,11,122.67,79.81,16.4
Vestmannaeyjar,100,IS,1578188072,78,63.44,-20.27,43.12,35.59
Nancha,0,CN,1578188072,75,47.14,129.26,8.92,4.18
Salalah,75,OM,1578187791,69,17.01,54.1,77,9.17
Ucluelet,75,CA,1578187898,100,48.94,-125.55,42.01,5.82
Yar-Sale,63,RU,1578188073,85,66.83,70.83,23.4,17.54
Cabo San Lucas,20,MX,1578187793,68,22.89,-109.91,71.01,5.82
Borogontsy,100,RU,1578188073,96,62.67,131.17,-13.76,5.95
Kargopol,100,RU,1578188074,97,61.51,38.95,29.37,4.45
Araouane,0,ML,1578188074,23,18.9,-3.53,54.27,10.78
Aswan,0,EG,1578188074,52,24.09,32.9,46.4,8.05
Saint Anthony,90,US,1578188075,80,43.97,-111.68,30.2,3.96
Awbari,0,LY,1578188075,60,26.59,12.77,41.18,3.65
Wanning,75,AT,1578188075,86,48.64,13.53,39.2,18.34
Nyiracsad,98,HU,1578188076,100,47.6,21.97,32,1.12
Christchurch,43,NZ,1578187916,31,-43.53,172.64,77,18.34
Saposoa,20,PE,1578188076,100,-6.93,-76.77,62.6,3.36
Sharanga,96,RU,1578188076,94,57.18,46.54,28.17,8.39
Luanda,75,AO,1578188077,94,-8.83,13.24,75.2,4.7
Port Keats,94,AU,1578188077,49,-14.25,129.55,94.28,0.36
Bonavista,12,CA,1578188077,87,48.65,-53.11,27.37,7.07
Mamallapuram,75,IN,1578188078,88,12.63,80.17,81,6.93
High Level,40,CA,1578188078,83,58.52,-117.13,-5.8,8.05
Qarqin,0,AF,1578188078,48,37.41,66.03,43.9,8.37
Jalu,0,LY,1578188078,84,29.03,21.55,48.31,8.46
Giyani,29,ZA,1578188078,67,-23.32,30.73,73.09,6.73
Asyut,0,EG,1578187784,61,27.18,31.19,44.6,10.29
Borba,26,BR,1578187898,89,-4.39,-59.59,75.16,0.22
Pangkalanbuun,95,ID,1578187982,70,-2.68,111.62,87.35,1.97
Maningrida,100,AU,1578188079,59,-12.05,134.23,89.94,8.9
Mokhsogollokh,97,RU,1578188079,98,61.4,128.95,-8.54,2.53
Cordoba,83,AR,1578188080,29,-27.78,-67.24,84.99,5.84
Toowoomba,0,AU,1578187864,19,-27.56,151.95,89.6,8.05
Pangody,100,RU,1578188080,94,65.85,74.49,26.6,21.14
Guerrero Negro,0,MX,1578188081,43,27.97,-114.04,62.74,6.22
Springbok,3,ZA,1578188081,50,-29.67,17.88,49.32,1.81
Skibotn,75,NO,1578188081,86,69.39,20.27,28,4.7
Maldonado,0,UY,1578188081,73,-34.91,-54.96,69.8,13.87
Bighapur,75,IN,1578188082,93,26.35,80.68,55.4,5.82
Raudeberg,90,NO,1578188082,69,61.99,5.14,39.2,26.4
Stabat,40,ID,1578188082,88,3.76,98.46,77,5.82
Kovur,13,IN,1578188082,75,14.5,79.99,79.39,2.48
Melchor de Mencos,100,GT,1578188083,88,17.06,-89.15,73.99,4.7
Itaituba,100,BR,1578188083,90,-4.26,-55.99,75.15,1.95
Namibe,100,AO,1578188083,87,-15.19,12.15,75.29,9.53
Aberystwyth,100,GB,1578188083,93,52.41,-4.08,45,14.43
Petrozavodsk,97,RU,1578188084,100,61.79,34.39,30.2,6.71
Bosaso,0,SO,1578188084,78,11.28,49.18,77.14,16.11
Lasa,75,CY,1578188084,62,34.92,32.53,59,5.82
Chicama,100,PE,1578188084,83,-7.84,-79.15,71.6,10.29
Taoudenni,0,ML,1578188085,28,22.68,-3.98,52.7,8.08
Tari,1,NG,1578188085,27,12.41,4.49,61.07,12.84
Alugan,100,PH,1578188085,81,12.22,125.48,80.35,21.94
Ojinaga,1,US,1578188086,30,29.56,-104.41,57.2,4.7
Ridgecrest,1,US,1578188086,50,35.62,-117.67,55.4,3.36
Kavieng,100,PG,1578188086,71,-2.57,150.8,84.96,8.46
Ibra,0,OM,1578188086,82,22.69,58.55,63.12,2.77
Rodrigues Alves,100,BR,1578188087,84,-7.74,-72.65,74.93,2.48
Sri Aman,75,MY,1578188087,88,1.24,111.46,80.6,3.24
